Transportation and Logistics,Freight Volume,tons
Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation
40678.916154814935,13909.175669397953,36897.05422852727,5524.472898728871,4464.795350120424,0.0,42009.05463009611
46217.535083028546,16075.709402918794,46471.99166983823,6045.988888978617,1833.5084684948652,9566.745585562774,31108.153269964267
43454.87366956125,21174.207782706126,35459.45491158792,14.923548532467658,3730.064072312452,28959.588987151776,32079.716455175494
46696.44410618832,20723.885443264113,15008.658900393564,4736.088388013389,7296.057280752019,42593.91465194384,38224.97581180876
47201.286538227774,20478.188149231362,20887.50683671725,4175.917892940367,1139.8745418508984,48430.6713606331,38516.172932481175
49665.22012989141,19669.243536543167,37509.177952525715,4715.644200705972,709.9413070325436,46330.33874858031,37312.65343317891
46501.26243250203,21866.84640696027,34374.8214286831,773.3604169546801,537.1572397225325,40289.98954286984,44371.52180328242
42801.82572132,22989.0587986631,24793.913751289616,5106.685110857588,6942.522084019068,25588.076082613727,38509.28288824987
43134.816231991186,25225.73276272479,32286.972733368264,3142.4584120031254,6008.522477953945,12149.184077111278,35894.45803638422
46391.75864816809,23152.33475369665,38720.518563036385,5503.573782449386,5079.112137592238,4602.172465567819,37656.1258284593
47296.76288911757,26511.343445240316,37628.8980656742,5468.023946644059,4966.5983851295505,3759.807095872572,37875.37121924562
50000.0,28046.480181736093,43154.82545319813,3639.6753781233015,3835.7170253376685,14584.929017716877,35404.04944545595
