Food and Beverage Industry,Beverage Sales,bottles
Random fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
58899.21088244473,100000.0,94588.49793247294,71678.42291100488,88548.21055129351,65383.878008576234,99793.9733412692
64980.049255325925,98464.00630064067,93447.65695416092,42489.26026452504,94014.35269661214,77296.6486816788,100000.0
76088.84872737147,93287.91058497388,100000.0,26412.194600103518,89002.94104848446,86048.7078888738,95606.15777036836
69527.47471173985,81372.59991538583,83806.39283917514,8762.372487350976,90917.12460662272,88382.54482001698,99429.24362493362
43557.7781777219,64021.709249323445,76612.90744997215,16958.375365483986,85551.1612966699,98591.10447331062,86884.8189537191
59246.96274865908,58075.39981495795,78825.92274201746,26245.069815468534,78954.52967703056,98646.86889276218,72469.83813446818
52189.85525528874,72248.14268461308,52892.74467355524,60029.04351500951,53726.84228920496,95611.89364746303,63086.72383024481
42536.11433005382,77137.08840946686,52343.797786002055,83104.18823535631,41608.47832202791,84023.26765736095,42645.98548363058
32477.203291150447,67487.14651203464,30057.150501720174,92844.75211357675,24913.573946671357,77778.23518592346,36729.2393122339
29796.35404228205,50235.381417565935,29003.07671310639,77728.11185889052,14982.796905046294,61827.06286751259,25081.03405419335
30120.444675868013,55781.048778001095,17264.37355037745,61336.93732014905,4518.679095625005,52044.08569032984,24216.63622065882
15580.479797874148,55185.061151003334,9698.65365095151,31895.615452521502,420.21878002990775,48465.313736090495,9670.521333200872
11464.944464593074,56345.382732750746,14657.382324333013,11169.633270244729,2106.012637791639,33134.16117888118,5361.101252618185
3265.0505639314647,52097.02185475539,5858.360080532184,16052.306431465644,6704.646346394279,16165.243701681627,5676.237687825048
1344.5543875220856,48176.012854521396,4424.946379484955,22539.014192869716,29025.476112358712,6877.6734960695985,5665.642235124494
6842.221358526545,50091.61521001908,18201.90702212634,45690.9233394051,30115.402115273377,12583.565548147313,5851.1180389685815
4710.313006631256,44686.091762007454,11182.069647329885,77066.6777233741,47966.221800380146,10593.310517791308,7729.232913139779
0.0,46543.33670350467,9473.257001845783,83584.6796030718,60564.902084976304,7813.509647745767,174.18441005315447
12888.28917665978,46913.600962383345,15944.238032196328,88949.16686838165,76470.97140114554,16987.52937155441,6092.086887045607
9824.830698125901,41030.52039094128,8512.858308437402,68102.73413230095,85905.41567559166,27525.316158925998,6994.839109360135
10282.679750484422,49229.93861524275,10124.083297514524,48772.40132805827,95650.96075908808,27680.11354740631,12900.368073192747
18736.693648254586,22865.314048841374,7800.670542588188,21935.585227448824,96826.44638669507,49835.720021674555,7393.702909799218
17303.670430428232,33786.326509806306,1789.2459783267818,7545.08897476284,92107.84699564708,65263.56113268843,6245.860359466198
13818.97337548044,25014.06896533003,8031.785254268276,0.0,84725.34140317843,75761.91851709994,7431.70455383619
22528.040037396186,13370.901739868013,4841.635235270253,36744.99941553797,73393.16992588145,74487.89296071208,13513.65452780651
28388.53472469144,24515.660621694384,10926.135528345476,56337.01069494407,66163.7031366155,91778.14986424973,838.4405623763485
11325.078145603966,0.0,4458.864977289467,82068.45266671803,53019.8349058906,100000.0,12218.776236900756
