Retail and E-commerce,Customer Satisfaction,%
Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
11.227590561889093,14.549718085205795,12.579338873374432,38.25070799748272,63.836877485978604,13.175674569931688,4.305934162163423
9.32309924477044,13.067790083153092,5.9248337490503,56.95719482840571,37.7628312243157,9.606416386132135,3.1042342090132626
32.374696546297514,16.04716652677204,21.001637666819537,71.30984701585346,13.25904158992829,5.87093729587609,9.174519711166095
51.25772642004112,20.400815927571365,42.5005759148754,80.38147217634518,8.788747068776068,12.026016504133032,5.0672380251626885
65.8060954696841,7.571237690773714,79.85536977400945,91.918325496649,9.047930015408545,2.636953769240733,8.441766049394053
83.76833068232166,9.483661009379208,88.47361492006662,100.0,33.81071069452358,11.637811284991596,3.2628967564978724
94.96318389710619,5.822084353381917,100.0,92.98394781475126,58.24892886417048,19.005482801080785,6.682955097669076
97.07131699721214,15.208892435731675,85.22620388504727,81.61660907086811,84.48874052053606,4.480418743395497,16.147637648457955
85.58361686113922,10.246226426749201,53.578380600360106,67.02383958913667,98.65338233571921,3.6334548543635528,2.5078499146946833
66.83359196579795,12.224776002045399,22.70149810437158,58.881512008012805,93.47941831474412,4.468777779115529,11.312379460758576
46.48457921869151,6.312871298872971,7.619355964567825,43.643810246494496,74.4573866992119,10.728420075236327,14.227433300868498
30.713632457270716,12.71509975171045,8.904213933965012,29.845486273705745,46.47881524983431,10.013603981659555,7.854649765969334
13.614634346561724,15.604230360642077,23.869813304139235,11.755618265291263,22.197657141948167,10.564710496170516,5.071727679110958
11.034520589419078,7.211272242569021,55.81077191138625,8.448107685867926,4.660158391911319,12.486110896070576,12.074499809968831
