Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation
4.694726835560363,2.6151512939683483,6.560300742048693,2.420486580894153,7.676485392468799,2.1526379212724476,0.6239580089887291
3.516083369356336,1.1498924086586748,8.35601650206313,0.8563722733976427,7.388197006923583,2.157366888996279,1.861398415990396
3.2544239042677874,1.3481730851361486,6.922433548709912,1.543474806416215,7.650166619546159,1.6619336216057126,3.0449989647401847
2.3867991321594992,0.862505023146879,6.396071750842063,0.9247036332067099,8.994305062510225,1.164553303088446,3.451891448076538
2.0572550835934713,1.3961027659055536,6.071541237666648,0.0,8.571259816767618,0.8540375565641902,3.1243821493263066
2.116146291726669,0.11894272916537155,7.1383326267343925,1.1059701846277297,8.483616918848435,1.226449792138649,3.794210616609386
1.1316717248823707,1.0637259930777099,7.913045771598876,1.2535472866553676,10.0,0.6681269834410962,2.981689139907024
0.0,0.7110029225603658,7.455169172520288,0.6283961160816686,8.284180251108666,0.4504582409029164,4.233189824085958
1.5701268040798178,0.48732204448933497,7.515931894300638,1.4932102670145,7.541886928409431,0.7217195660868143,2.3926742530138903
1.593731260040583,1.453113432566855,7.537089138325581,0.7850811737628781,5.822960422278783,0.726815525597565,5.00250973086529
3.2936322535762654,0.12713330768959488,10.0,0.1170618721995238,4.5976515464948875,0.8006011543704536,3.798504776555963
3.8212804359944785,0.8752782981330282,9.046608784556941,0.3888225338034773,4.248495788701,1.0386144535166455,4.150122453210317
3.2670583669327136,0.7150523396303685,8.828931210287754,1.1601130943553912,4.514173700484413,0.3155988067936858,5.507168003033023
2.997493218843095,1.4656108298972361,7.832138047492075,1.0378296191713083,4.445932855117409,1.1767822737382212,5.595119986730244
3.8784666440789604,0.5301548972521506,6.260670543079145,0.7377049996126718,5.037108353331283,0.8485944522064763,7.066452276917229
3.896538463391252,0.0,8.0525688755563,0.5452463256598427,4.934150192135219,0.7190802384374053,7.44752050090998
6.338278788176108,0.4113770341359908,7.588401282181325,1.2878894255994797,5.545257610134643,0.7081361316723455,7.178055700957053
5.849096448778399,0.9840786199256658,6.438215738309893,0.862777381136771,4.749294698083402,0.8874743279184288,6.050496743067262
