Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Periodic fluctuation,Random fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation
9.698892098742991,2.746118480667769,2.4890229610917998,4.073078326122819,7.035208356217739,5.877274737209907,5.4014242527245955
9.61706409866329,2.481640534616285,2.5660107848346376,3.497266915433406,4.383248622405483,5.640358244802658,4.021462601141933
8.824396233637197,3.879319231337125,3.2037463329614315,5.197420576188694,3.207819806092836,6.202140120996827,4.591666163700888
6.810276107894424,3.1151629516041286,3.8367720779601964,4.627026417129027,0.8480636109392725,6.417543866879,5.729672354087285
4.996543178637786,3.3036001468810596,3.461957475931148,5.145895132139068,0.9898598585676388,6.682461666713103,6.648515276886515
3.2855494017616134,3.8286386881863455,2.6917807012061976,5.115146657638453,1.0559155492238683,5.5671917902812424,5.906084173943384
1.6021652864658882,3.1026082009733766,4.856289109615281,6.080249216939371,0.0,7.071578951546556,4.4828208552202895
0.6099727565433478,5.5695604660441065,3.697589172884401,4.666139817481359,1.8133704465308491,7.455865828952274,4.786009032927386
0.3415080138807089,6.438325133901593,3.9400287269114322,3.916869344724672,4.37167428850368,8.492360412898181,5.661666503574406
0.26442636948033327,5.079873405230854,3.585506755196386,4.533104465544189,5.184932018068871,9.027145593766287,5.288419286750138
1.4195223157366088,6.160284485711729,3.0046424159894873,5.761213022669064,6.479012687871888,8.561327577269562,4.4925499876150745
2.889318988475492,6.609737826031363,3.440434620792651,4.0739258903541735,9.526417902253893,8.16836054981033,4.192480722974369
3.752360255243578,6.347463097560909,2.9261639302827946,5.689483539143585,9.759318555658114,8.777372377263038,3.5976757390587117
5.902669827368819,7.138066329464852,3.794098922386026,4.151745993032217,9.339660326663983,8.837709574314909,3.1439573990903167
8.448089570806424,6.324409720376867,5.7648742534521835,2.340746114655174,8.39139557260406,9.721096192292466,3.313632950996805
8.954472923524614,6.413877246764102,5.470784087578592,3.7626396266958704,6.79063410158091,8.226106353308316,3.695333295862681
9.727479617436845,4.862084035075991,6.487009895773887,2.9636389242142402,5.802188534331433,9.009877065226782,3.1400008913261406
9.57029874067887,5.807618636132509,6.240285176233302,1.9352417881820652,3.662605936060983,9.187786172789993,3.8029745644823705
9.780822932131276,4.757175599837243,7.460940543812243,1.780094915975534,1.787856759293409,10.0,3.1694950643518958
9.609564492851447,6.988480468422362,8.214108082757297,1.5284018822606598,0.5239279549014935,9.822562452638827,3.1922832367769187
7.146920844881096,7.454219438567553,10.0,1.242593784170056,0.7223494967899348,9.986911686431434,1.9579392269946498
5.676593795705812,6.982406892286733,9.106867003580593,0.19296400074802694,1.0181378481869148,9.68789982555786,2.4094886558601183
3.3013216333051054,8.445661728772757,9.696824554253165,1.0918403127785905,1.507084889461987,9.219341546735736,2.372964110655816
2.445190935113411,8.535476314980707,9.505411454215869,0.0,3.4612179768733817,9.653772764161568,1.0223071492428093
1.3440594484885728,10.0,8.811079652577774,1.8421954005882206,4.908545855316565,8.475214918483893,0.0
0.6502912207661866,9.231342895398434,9.264432615241446,0.5875964289730683,6.430466708915771,8.239654495415563,1.7158214328068615
1.158380009937134,9.279405972890952,9.196591330569657,0.46179722240752946,9.111942040658827,7.2401544137089076,2.0567405375897287
1.1938648437385408,9.506549984247041,7.942786690827609,0.30815165185923477,8.980167771758245,6.789928472335168,1.717018010226874
