Sports and Entertainment,Event Attendance,people
Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation
29012.03186465213,655477.339618524,395349.2154179985,0.0,600190.4811377331,63190.318206105156,67545.96104989902
39366.38910161117,753107.8926089668,413190.70233027363,132981.00776689834,436001.88816039637,120048.28124425092,0.0
156083.99081656692,815909.1397494774,436077.4573892756,176232.54678524932,542569.5160909054,134854.74567790842,131624.77120432758
49965.627092894436,813548.9738329615,473599.21778102324,74594.11743603778,574770.9720837751,146275.2341033846,208266.26178378813
0.0,634613.287935946,533943.3917996193,107196.96665664633,397089.4836074976,132092.65808577064,329445.3747409177
27228.296229468546,761892.9835801277,691966.843603382,113682.5036571021,179457.53108129452,43159.65506301925,518563.49153262615
93175.34427786604,716963.4838615112,772008.1988557376,172772.4378875676,163907.2296773962,113108.78387308128,613392.6945879462
167395.2468296061,644442.1989760887,801004.4752789708,137853.0492461304,0.0,58189.96044042661,723828.9362820352
243244.43532140882,712538.2158354686,800629.6295701391,163030.12245186657,145039.80149663467,176467.4813934376,814118.9905787257
372211.31435469846,826885.1035836032,733783.9837925353,148029.4592320918,20602.618147034496,138964.33851721958,910509.6354030791
256466.8919028038,933039.446703708,785501.0095740312,100076.67204071021,197194.58145055073,17048.123937483157,1000000.0
378350.45094854815,909147.4636848934,804020.5504229642,140504.2538772948,101822.33210289785,12897.107416721108,887950.9968417515
487487.82544392894,836253.3958842732,850151.6912961429,48327.618844204466,244434.19201921506,91458.89171064277,972944.9223261322
466349.57634311897,904888.8221391983,942276.7925189093,108990.12067400219,446708.621640036,124820.58704189138,745811.8854145006
351834.65930449957,1000000.0,1000000.0,96365.44685614947,279412.02830460254,70299.70337731393,749232.2297117811
