Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation
8113.058559695846,7123.309019694179,3110.169449229151,2930.2487971038518,3460.2053358496228,5851.818930122839,5982.45970867842
8610.640271649181,7274.611706144777,3929.8147479403387,2982.61790038856,3893.3316024750693,4340.541620175109,7356.430046507116
9197.945357247554,7765.409032010987,5115.062117764828,4493.574751640464,4796.68555511679,4323.736074201706,9499.375958529332
8266.205969638459,7599.113545442308,5359.831607720659,5722.525654772425,6080.908608776451,5094.173504955092,10000.0
8748.985774050247,6796.039225041482,6768.651946819294,6560.611200098853,6972.941925757075,7070.858972147274,8591.85349009704
6656.812384954407,7255.64424593723,7324.124684715091,7852.015704185341,8176.666482272487,4908.148648557421,7255.928142749076
5159.175018754727,6928.0815932209825,8943.812136560986,8650.509383095536,9360.435368756309,3785.4298769865304,6307.56145311656
3473.620795895586,6259.582533237846,9426.023229589908,9481.84892821395,9955.8717137926,2812.3022170146805,5109.835162835821
1401.3945733051792,5831.634221433539,8194.511636677085,10000.0,9374.958825394373,2280.6105740668545,3196.717608206611
834.6409396975508,5562.040750365846,8823.367123442667,8749.941653969567,10000.0,2416.3540040014095,1967.5794679333671
243.94639667746705,5905.305176920085,8986.561362608283,8328.497876031288,7946.321521218029,3125.3395794739436,875.4455941170554
861.9275765291076,5228.118068725387,9425.232645320644,6442.096548013577,7421.414932690124,3705.921102667708,333.31836014122916
2379.6659872725436,5170.103886190478,9424.870373201153,5075.4594005121435,5894.258867036127,2971.627739548016,407.2519596796223
3274.8067636687983,5268.2118682228065,8078.760764384802,5100.634183016675,3944.74742342768,4251.0048524426,1684.0637182729452
5545.2609173597675,5058.26134316794,7175.553934853859,3560.0698281156833,3767.856135919596,5407.190306584391,3530.2901119129533
6161.809625159899,4678.247111617542,5985.6290801480945,2674.399110490642,2272.235042584883,5076.38818209545,4892.813052763231
8720.90432446817,4782.47139399739,6853.784809171079,1888.1008567798483,2112.6792366532586,4327.184388416297,6208.142386970302
10000.0,4499.769023638491,7713.323403814492,1127.9574617500969,2666.035657522215,6232.980618746331,7667.465129471818
8583.070428242709,4703.531742162872,6293.386985571315,839.8854908148085,1068.56138825077,6544.722479336412,9412.73824888103
9461.33095014786,4172.907578435534,6015.653504282121,1856.8790716444448,1564.073487635901,6650.709002336823,8865.711310856495
7020.307685422668,3843.1423831690954,4746.424657509407,910.3711437591548,2400.629746051931,6100.493275352844,8692.031342693563
5405.978538279424,4212.686353491414,2944.487104407987,1825.1136769760506,2383.054279339345,4876.247037981834,9021.735612788729
4330.4802623632195,3832.78109022704,5015.728461832728,526.9433438751197,1527.1120886186359,6690.844110173263,6563.750922927105
2848.3757497952906,2629.404136042579,5707.598886537821,706.3209010883509,0.0,6681.981506929691,4443.673416585383
839.5402280939618,3152.3453219152348,6212.279105942717,1005.8531866337842,1419.0746553284253,6825.324614061279,3321.7221272060656
668.6336494168645,2602.9983120318084,6128.157902588135,1382.9039649871777,680.7648997045694,6621.979114284317,1656.4705905918297
51.045519897031326,1911.7787619628039,5186.694832492483,1162.4998464096107,1170.4891037249706,4992.365195681054,1209.26839747163
176.53959917607847,956.613061980861,4785.5481759492795,1117.5934591740497,1461.056740786487,4403.275214839965,0.0
2010.7557055925165,0.0,5474.140624481573,1141.2576184834104,1027.5032978838517,2770.3903068356826,1168.2486778818356
4965.606582465711,323.19846074296754,7618.56359344102,676.478499083128,1331.1990546426334,1999.70308496891,1819.6828970098675
6976.1411980655885,1139.8454364017796,9050.915453279054,1329.516018356988,999.7076258918374,597.3969483717166,2958.53125603247
8422.677129662688,911.5432469765602,8913.434011622048,1185.4378902034643,1368.476600603834,0.0,4001.8367834435335
8618.392879426958,2010.600483724526,10000.0,1368.5314394258558,1686.7865961437942,943.540662510146,7363.597701105284
