Science and Engineering,Research Funding,USD
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
50334043.43393848,7284771.862805246,9292452.963820675,62993945.38869493,10094183.211757213,27414859.223915473,42420854.238025546
56241367.08423101,7261596.799006086,10712181.70768909,29491862.522345737,7290126.870710487,41468949.14296903,49278457.30949118
39731774.829586685,5413769.907692121,8058489.628407295,4373974.787415309,8989329.726613432,34402913.96171841,48119878.598190285
43434838.20321059,19933740.43291747,15632769.715173423,2934811.8022013833,5710917.253984723,30176481.136559542,48923894.08493381
58773048.9159093,10129948.93701485,60769.570840132976,31118375.562903393,5592416.012215841,33285457.078328263,52626911.05505483
76492553.83376183,0.0,4429513.093650509,65723611.47782019,4058185.5686690696,33838066.06203927,57244227.62266328
75781349.52563627,9850497.203895042,11999455.472577404,94133026.95960793,10753183.07823081,46191964.56025782,62128599.60595721
69587665.56098075,11176442.058570284,2426288.1517682066,100000000.0,14431750.654686235,48232716.13582705,70873141.12728916
56447832.32414864,8438526.012887409,7918681.4320986355,73978775.9799851,4888618.942930199,53591569.79841476,70626483.08720587
51780565.91721276,9957862.1434654,7024823.866647928,35383437.4052144,8674290.834890222,46194624.972242154,69449684.49664764
49055869.77820755,10952573.23906765,4659379.993167359,6925953.36495431,8330396.377972534,49158207.038528495,56412390.71461115
59426891.25751496,9125597.15349926,1295426.6028878018,2176573.5163271525,13023306.957195846,40265441.945856765,72241612.55253415
66380446.48628897,4958415.89971552,14190662.461908363,15002465.954179589,6268245.760833983,30783393.162739497,81711777.80443552
