Education and Academics,Data on employment rates in different schools,%,normal,vertical
76.44,88.58,77.35,92.3,85.61,82.21
91.16,84.64,84.62,82.6,85.97,85.47
79.25,75.17,78.71,79.32,82.84,83.27
94.78,69.86,82.0,87.87,86.18,77.24
89.67,93.83,90.0,71.62,81.0,82.79
88.85,82.97,83.47,68.14,87.61,81.07
88.99,78.99,78.88,72.34,84.18,83.86
87.77,84.13,81.32,80.79,80.84,85.49
79.81,82.75,88.43,83.61,74.32,79.91
84.37,85.06,74.97,91.7,81.7,84.16
82.29,78.71,80.5,87.89,78.76,85.06
82.14,95.79,81.09,95.11,69.93,81.69
89.47,94.58,85.81,84.97,82.97,83.28
89.24,89.0,83.81,75.5,86.65,81.8
80.34,83.43,90.28,80.34,80.85,81.91
72.95,88.37,89.04,69.66,83.19,80.23
89.34,80.05,90.08,81.36,75.34,85.13
92.58,72.64,91.51,76.89,91.29,87.23
79.64,89.7,99.44,92.79,78.11,84.64
79.61,65.23,78.03,85.63,88.58,80.72
69.36,81.86,92.45,73.18,81.62,85.61
81.71,83.77,77.31,78.6,88.74,86.58
79.82,77.57,84.33,71.69,84.44,82.04
83.74,80.42,85.47,84.38,89.18,84.26
95.2,88.65,94.95,77.88,81.91,85.92
81.69,86.27,86.52,71.46,89.18,83.95
80.39,78.32,86.39,79.41,78.91,84.18
85.66,81.59,89.05,72.19,84.79,85.57
85.84,77.64,88.97,91.92,85.42,81.88
83.53,77.15,80.73,85.06,88.83,84.26
82.13,73.73,97.94,85.73,88.91,79.64
92.64,79.51,91.6,74.18,85.17,81.49
93.87,79.51,95.13,89.39,80.42,81.01
83.97,86.93,81.25,83.59,76.83,82.73
89.3,88.42,92.72,78.84,83.23,82.67
86.14,85.2,92.46,63.62,91.71,84.42
84.98,78.01,97.65,87.08,77.28,87.12
