Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Silverton High,Northgate School,Westport Academy,Riverdale High,Lakewood Institute,Meadowbrook High,Pinecrest Institute
77.58,82.08,94.06,87.41,93.16,77.58,93.92
84.76,80.66,102.34,82.12,80.01,83.12,100.77
77.21,84.41,81.88,88.55,133.39,110.76,91.2
80.14,92.75,87.19,96.69,82.53,82.12,93.78
80.23,84.67,96.61,86.76,77.4,105.15,84.24
95.48,102.04,84.03,83.87,94.82,98.12,80.79
87.87,82.43,93.39,80.86,73.97,77.42,87.65
84.72,85.28,84.23,78.71,76.1,79.73,92.98
73.77,81.83,104.71,84.6,80.71,78.9,81.44
78.25,76.04,85.69,88.35,84.25,91.53,83.78
78.26,76.32,99.55,81.11,105.64,78.2,87.78
73.86,75.93,101.56,97.4,77.05,87.81,86.24
82.3,91.48,79.11,78.76,105.09,87.28,90.65
86.24,74.52,106.01,77.29,95.74,91.87,80.74
83.83,82.81,79.96,80.94,96.15,86.44,88.36
118.05,90.38,79.02,85.75,84.94,92.57,84.83
83.02,88.51,86.5,79.88,81.83,77.7,96.32
74.1,77.81,92.58,75.71,78.59,90.81,91.4
81.83,78.15,88.9,82.31,74.24,82.56,91.99
78.41,83.41,94.33,92.44,87.31,80.66,99.77
79.17,109.07,85.84,79.21,75.79,83.53,83.96
88.65,102.09,89.06,93.02,93.32,86.24,82.2
96.88,84.83,83.61,81.83,85.91,84.09,84.59
78.49,91.41,80.86,80.14,87.74,87.81,88.75
84.11,77.15,78.81,84.88,76.27,83.1,89.52
87.51,85.39,90.98,78.06,81.56,85.25,81.07
78.24,98.1,77.51,77.44,83.19,80.13,84.36
77.69,81.73,80.33,80.18,88.17,82.23,94.74
83.5,86.79,88.52,78.99,77.9,83.21,88.32
90.13,82.02,77.55,80.83,81.14,89.89,79.85
92.69,88.87,98.46,87.92,84.95,95.55,82.65
78.43,78.97,97.87,84.82,79.11,105.03,102.67
77.24,76.78,89.3,107.84,87.48,77.73,79.38
86.89,87.93,93.24,81.92,74.71,78.6,95.51
78.29,100.43,79.74,82.57,86.35,84.16,83.91
80.3,82.34,96.05,77.72,79.97,99.73,85.39
77.4,82.78,77.86,102.24,78.77,86.37,86.89
85.75,84.09,79.68,86.02,82.05,114.66,85.3
89.05,85.22,87.89,92.56,86.61,75.27,81.48
90.12,84.02,81.82,83.0,94.22,82.81,96.63
91.1,77.76,83.23,79.5,82.86,84.87,84.26
80.59,73.84,77.6,78.84,77.83,82.54,91.09
73.58,75.1,85.58,88.86,75.04,79.93,98.25
79.1,79.11,83.51,102.85,79.33,82.39,86.17
84.3,95.76,77.58,87.11,73.93,85.33,79.92
87.71,88.3,85.83,104.5,74.1,84.68,84.68
74.63,78.94,84.61,88.78,89.13,78.51,96.72
77.88,84.67,83.34,81.66,76.37,81.99,82.42
80.98,80.99,85.32,81.28,75.82,100.72,89.02
104.38,80.49,91.76,104.73,77.13,82.82,84.44
90.07,76.86,89.37,81.76,73.76,118.47,82.46
81.64,81.35,84.88,85.59,84.16,94.45,82.67
78.55,98.32,94.01,80.67,74.99,80.51,84.44
80.21,83.69,90.81,83.81,71.82,86.81,82.26
76.05,91.57,86.67,80.59,107.94,76.06,89.29
80.47,80.1,78.24,80.72,91.47,88.18,88.69
86.39,89.05,84.11,78.39,75.22,76.52,81.56
83.63,79.76,82.75,80.67,73.66,87.74,86.14
96.91,98.07,78.4,90.74,74.85,91.63,77.68
84.11,100.75,85.88,84.38,76.55,88.22,88.6
88.5,103.67,85.0,86.07,78.77,89.08,82.68
83.54,94.68,77.28,78.25,79.5,91.8,85.51
82.15,86.22,85.01,81.2,83.66,94.4,86.61
84.71,81.24,92.17,82.1,76.42,79.47,85.04
75.42,93.78,91.75,84.37,81.4,80.58,87.71
78.02,116.08,84.78,83.39,81.3,92.01,90.79
80.89,84.03,93.08,79.74,74.25,78.14,105.92
79.65,80.16,86.02,85.84,77.95,79.69,81.17
86.83,78.05,84.97,87.31,71.84,80.94,93.13
