Education and Academics, Data on employment rates in different schools, %, t
Brookfield Academy,Springfield School,Pinecrest Institute,Silverton High,Northgate School,Sunnyvale Prep,Oakridge College
90.1,81.66,89.42,86.71,89.74,83.27,77.66
87.93,87.93,86.67,86.98,102.09,89.89,70.46
89.01,91.26,90.47,85.88,94.31,89.24,77.79
89.0,81.29,90.28,86.87,95.37,84.3,85.03
90.26,77.34,88.69,85.6,87.81,87.8,80.25
86.26,82.91,82.63,83.63,95.42,87.17,81.19
88.02,88.86,85.99,87.55,93.98,86.11,82.22
87.67,90.78,87.09,81.73,91.0,85.57,84.24
93.48,85.52,88.18,87.22,93.29,85.43,75.95
87.54,81.28,84.88,84.46,92.19,83.38,79.61
89.72,94.27,83.85,87.52,93.76,80.42,72.65
89.44,92.25,83.77,85.08,87.36,84.86,76.96
89.65,85.49,89.78,86.46,94.81,80.16,77.34
88.12,80.66,81.79,87.93,92.93,90.61,66.52
90.7,82.68,86.15,86.01,92.92,71.44,80.72
88.48,89.0,90.15,86.63,93.73,94.47,74.31
90.24,86.89,85.37,84.7,92.25,84.35,73.87
88.02,90.71,83.85,86.95,89.39,86.54,78.46
88.29,84.51,87.33,86.48,90.09,78.29,83.18
90.43,88.02,88.73,86.27,88.97,85.47,86.26
81.98,82.06,94.91,85.73,90.32,81.7,78.08
89.89,76.61,90.15,85.09,86.48,86.31,77.96
88.35,81.84,87.93,83.1,98.19,85.61,80.27
87.36,84.8,88.41,82.22,97.03,92.16,72.43
91.29,75.34,84.25,86.35,92.57,84.42,74.55
91.81,86.99,86.42,83.11,86.71,87.21,78.49
90.02,90.71,84.32,85.95,91.02,85.6,79.05
88.44,83.54,86.74,86.46,94.99,84.76,75.03
91.56,83.8,89.78,87.55,93.55,89.36,82.15
