Education and Academics, Data on employment rates in different schools, %, t
Redwood Prep,Brookfield Academy,Meadowbrook High,Oakridge College,Lakewood Institute,Crestview High
81.99,97.36,80.92,87.85,84.28,85.04
78.74,90.01,83.41,90.87,86.7,83.44
76.54,82.68,83.27,92.22,88.65,89.21
75.53,99.32,84.7,88.96,87.52,82.3
83.3,93.57,87.22,95.26,88.77,76.5
77.05,85.62,83.1,94.0,88.0,81.73
80.63,88.48,82.78,95.07,89.71,81.14
89.86,93.45,84.25,89.19,79.11,86.34
83.79,89.38,83.35,88.43,88.15,80.66
85.38,92.43,84.66,90.07,91.27,78.61
82.27,86.06,83.33,95.42,87.26,88.14
81.52,85.87,85.98,91.45,87.42,74.44
74.99,87.0,81.87,91.78,85.64,78.98
80.48,92.07,81.31,91.16,88.86,83.7
83.76,94.69,85.72,92.53,85.45,83.63
87.82,88.04,81.05,87.26,91.07,79.27
83.49,83.34,83.01,95.43,87.82,84.91
85.78,88.34,81.72,91.6,88.17,82.88
74.13,88.22,83.97,89.81,90.8,89.38
80.21,89.17,87.89,95.3,89.41,76.62
78.88,86.55,87.73,91.14,86.44,71.75
86.51,97.86,82.8,94.19,89.48,87.54
85.63,86.84,83.05,91.51,84.54,79.58
78.55,87.15,89.21,85.62,84.12,86.24
80.37,92.06,87.06,93.23,87.51,82.86
85.6,89.1,85.46,84.16,86.83,75.83
85.44,92.78,82.53,90.33,91.44,80.55
81.5,85.58,83.61,92.28,86.65,85.4
79.64,82.86,82.2,90.26,90.09,83.14
83.73,86.26,84.75,99.03,96.21,82.04
76.4,82.74,82.19,88.91,89.04,84.57
83.68,89.15,85.69,90.62,90.55,84.29
