Education and Academics, Data on employment rates in different schools, %, skewed
Eastwood Prep,Greenwood Academy,Glenhaven Academy,Silverton High,Fairview School,Sunnyvale Prep,Maplewood School
95.43,95.32,91.46,94.04,74.29,88.87,84.89
81.98,78.39,100.0,79.04,87.56,80.52,83.87
89.15,85.21,77.51,87.49,81.32,85.83,90.08
78.19,88.16,90.53,79.05,85.72,76.03,73.46
80.85,90.46,76.32,79.72,77.68,104.17,76.22
94.84,77.42,92.17,85.26,92.27,84.17,79.11
78.36,76.5,95.85,91.56,87.82,92.77,81.07
90.23,81.21,79.4,93.8,85.17,93.74,77.16
89.44,72.97,120.83,88.32,74.08,85.79,73.24
86.69,80.63,80.11,78.85,76.64,79.89,85.95
81.01,85.46,83.32,75.82,79.61,79.86,87.28
87.62,92.24,89.34,75.89,94.35,88.7,75.94
81.94,81.15,80.96,82.79,83.34,91.02,79.31
89.91,78.47,75.06,77.84,86.51,89.43,84.95
82.44,79.54,84.66,77.13,80.78,77.08,77.16
94.01,98.46,104.08,90.27,71.87,89.16,80.01
80.81,81.79,79.72,84.11,105.82,79.61,86.99
86.45,81.79,88.94,86.43,96.32,78.01,96.27
98.06,91.73,84.67,97.81,75.52,83.69,86.96
77.63,77.19,92.66,85.7,88.26,77.41,72.07
88.23,106.14,76.8,81.9,119.0,97.48,89.76
97.07,77.43,85.28,88.79,80.37,98.71,82.63
85.22,82.99,83.84,92.77,81.29,76.69,73.31
97.88,86.76,81.38,79.23,75.52,80.26,79.15
91.36,115.49,78.26,77.69,94.92,82.9,79.08
88.99,75.95,75.43,80.5,71.96,90.14,72.22
80.23,85.54,85.11,81.95,83.4,92.38,84.11
82.67,83.8,97.86,77.35,76.43,80.9,76.05
81.22,82.65,83.76,78.72,71.5,81.9,76.02
93.41,78.78,84.24,86.27,74.57,75.14,75.39
75.57,85.18,91.39,81.5,74.49,78.43,87.06
88.25,98.99,95.15,93.56,76.92,84.11,86.21
91.02,77.98,85.97,79.89,75.14,89.1,78.15
81.51,81.36,87.26,85.93,82.0,90.22,73.51
91.23,90.21,98.93,93.79,85.34,79.83,75.11
85.18,76.81,85.79,81.78,85.94,85.01,74.01
94.31,86.0,100.91,87.96,83.5,80.64,78.68
85.22,92.54,97.8,78.03,85.26,83.24,72.25
88.81,79.06,80.0,90.57,80.17,77.77,83.38
81.18,80.43,77.76,75.73,72.64,98.75,75.31
78.02,79.04,98.65,82.39,74.33,85.64,79.97
83.06,76.86,103.1,84.84,77.73,78.9,75.21
97.68,113.12,88.56,94.59,89.47,77.36,78.89
85.43,73.66,94.69,88.69,82.13,95.74,75.83
76.48,82.85,106.49,94.39,85.85,76.6,75.37
81.8,80.84,83.26,78.89,95.42,77.95,84.01
91.16,75.66,86.0,74.92,84.47,99.02,83.56
83.92,73.87,81.54,86.11,88.72,80.37,76.9
96.58,75.53,89.62,74.23,83.01,83.79,77.7
81.89,75.85,83.41,85.97,83.29,97.55,77.39
118.19,86.61,91.21,80.06,80.74,92.66,77.52
84.61,74.16,96.07,80.2,81.04,85.51,80.13
84.02,80.95,90.67,75.42,85.26,80.93,82.22
84.69,77.0,94.86,89.59,79.86,88.61,73.59
84.12,79.83,76.27,98.9,78.33,94.45,80.45
78.58,72.44,83.58,73.22,75.79,95.12,88.44
90.63,103.66,84.19,82.71,93.59,96.62,73.53
79.53,77.23,79.0,82.55,80.63,82.43,71.37
95.32,80.19,84.94,93.31,97.19,94.35,72.22
85.59,93.66,78.03,76.33,80.51,87.44,74.43
86.08,86.26,114.91,77.4,82.89,80.18,80.07
89.71,75.41,89.76,81.5,78.55,78.86,76.82
103.88,74.97,84.39,76.28,82.4,90.63,71.99
91.45,83.63,89.07,75.28,84.74,77.64,71.65
