Food and Beverage Industry,Food Price Fluctuation,USD/kg
Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
66.1885741260383,58.52706846433474,36.809037218784965,57.59528050390126,48.44559910702727,37.274837463559365,61.932431957059606
76.01807308685281,58.87983768364453,29.385056588469936,67.97804120775518,28.326528283480563,33.09011998973867,73.68649725816164
79.83533143521538,59.68026898409878,22.83125505775955,68.0017600135996,27.871666330603855,28.244543221947087,97.28808438351203
83.25519027225403,58.91498966395823,18.95614977406766,69.69715591686088,19.301279139548143,11.03121215060741,99.14420307755657
95.87271934299882,57.264392110008004,18.052145327918552,88.22367839288319,22.393165310646268,3.555008472380673,100.0
94.8693199258627,66.19442936942887,12.233665646527433,74.27037055730692,11.029299897583037,6.465791165318622,87.96824741343572
89.79134938677305,68.09202926711234,3.8008054173587316,43.98535883171752,12.608263831358316,11.409591437353223,69.32963169409885
91.1888773084293,52.47946761859188,11.259015218422897,56.699714554839986,11.24000935157093,17.829504320500984,62.32528676751517
89.58476542662072,58.9238776684177,7.537266976638493,29.359903463032015,12.67012174575136,10.544909425378217,37.668778413452266
92.46343663390716,70.84605012704942,8.651196510894342,58.112658032885875,4.591235267725732,14.174821345862846,22.50800420485376
89.62820062994794,68.08917640004255,2.7825864127233317,67.28835826746753,8.178405878217813,1.2105481989058955,9.916313798992386
92.22993630930667,82.03142612108584,7.741399107159215,62.975568755712544,11.586683959883782,7.147534428172031,11.25508023045622
100.0,91.56790139569576,3.966170283498712,42.428752237796665,3.655907162443534,4.78627600622011,14.505468627808515
97.81631991648347,93.24949313344284,17.000016991908616,61.81861173827037,13.762848585935616,11.043401905578298,27.195755914644792
93.09612980626875,82.97045914827798,1.2500560815954085,52.95956866169716,0.0,5.909395122991885,29.289973439518448
80.16875514569595,90.66423983469866,7.939307619482322,45.37173357547278,7.713706340598378,15.401281341676224,56.70579161089412
84.38145218051666,97.15896454782632,7.5186726350532584,55.047130218449524,15.510676263934716,10.411081305523325,72.28559723450526
78.00866016080936,85.7481522841818,13.749855268454377,44.10677875709354,15.764808954707298,7.4098364880861345,93.6495562181605
72.44099968466583,100.0,6.480867738896475,76.56833285657042,9.670699603004671,9.726875342957737,94.76424060197822
72.84699611517786,99.92080593638445,9.686584241877402,100.0,6.867945330291381,5.999510519364208,98.8053444984249
