Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation
134949.16777297473,462599.4176008063,852745.881528462,420745.4706204858,515930.74629762524,421035.44701567787,395099.0193436965
326894.6817614214,376393.4167309884,586182.066788585,302753.03354216536,211487.97861473076,693234.1033514228,125016.18369459269
360885.7626108002,213309.01280207493,349887.6615270507,255932.6813241803,85184.45629967579,771339.2776370799,56171.732017947405
369265.6111969228,256174.5695961361,153808.56884442735,246437.3500196601,23759.51967987425,604327.7917224782,0.0
545743.4305561262,169861.9053417427,147419.88464695876,92759.85979210664,34792.51218634704,719197.6356271426,162846.2254058249
560121.6838808173,130374.4165215315,230884.81082093532,105517.14738028179,181505.01136792952,926359.7176395287,338279.9074244886
602881.3621968146,69784.50079121017,544475.5006580993,136995.99915271605,464871.49823379907,857720.7010046548,288141.9063008949
690790.2443325911,115755.88056793994,715053.188749868,128529.27902572455,739252.3061797764,900308.4948920046,305557.1180433792
738425.4995214425,98698.11533098489,905726.0918989693,222864.01852456058,922257.8400989479,818055.2412151356,272289.41669832333
784109.1511000608,65539.67579482302,828071.0777944336,110209.6808569896,932239.4976910069,591949.19137384,252545.3616822788
774456.6247201357,191938.88115282587,611932.5867286267,129083.53496157119,868829.7049150448,666842.508666774,310085.1762590763
895989.8154284002,133473.09634993228,360461.61950606783,55192.4184826865,788543.2430152601,571373.8934391601,349840.62846592424
928784.1318958947,153064.25622878454,220466.08954665755,150568.8005481357,523046.45255681727,552276.1082840858,425451.20680598455
836611.3012876853,14501.577348561957,98873.06138058497,120085.69967960932,326305.4348551139,698824.5596332123,387605.0537042881
805307.8093122757,92256.16736284696,301823.02969848324,82237.31859141178,69002.60648229456,730580.1195525023,296570.013002121
868485.2745978688,137872.887874707,565108.1521441544,151126.44232361173,7168.697171191817,748138.7355341339,417010.15568278526
729796.821392596,207892.4608809208,841315.3839336078,129983.1405561169,0.0,945163.5544107673,488102.1524701016
781639.2769827674,141536.53102879,963741.7345734127,146799.50288409245,292491.058994984,1000000.0,624884.8346983859
916726.8761778101,176453.5887681346,846240.4764325556,125952.46619354369,448295.0963603683,871922.9013781736,445515.73745802755
1000000.0,138100.8932977209,644333.3525111027,182044.44365264865,684527.2927211995,780673.4753819923,373066.7952846851
