Tourism and Hospitality,Tourist Arrivals,people
Cultural Tourists,Eco-tourists,Adventure Seekers,Backpackers,Business Travelers,Leisure Travelers,Luxury Tourists
470300.1058472304,830319.9989843274,794814.7623324993,778994.4172671636,803266.9567924911,897205.5476351286,355233.6430145579
277698.44320350233,880647.2787654048,898937.2346487542,956413.375235994,856030.3217526219,983239.010472,360152.6043630362
130001.74331995958,917377.1734368196,1000000.0,947783.9654167077,1000000.0,962969.7578701878,580034.8928486214
102102.59795170098,983753.4693268731,904813.9221244516,1000000.0,888335.8573241631,1000000.0,630344.0978541378
95219.0354860997,1000000.0,908618.3597064466,890929.5317835067,866029.2971002749,935445.941340713,759293.8445474678
99626.74003332126,750127.2359944076,824496.4431893369,850544.7299131026,736158.121470322,822979.938831741,874067.1038404654
309035.4066817001,667879.9579402267,687339.7579498496,770276.9400280688,633968.7310250106,718070.3881315588,903354.7623100447
490508.95890138036,516185.77692200954,529271.0501836627,649821.9867184844,448436.67371649924,623233.9864610736,1000000.0
655383.0433286641,477524.9915487459,332692.8782048802,459219.3626809914,411191.24430338107,452479.7383963449,943041.5165941733
789851.79120052,257376.66977576635,207318.76850228952,334186.0431532274,377853.09194681945,331421.7052830156,909706.8995972661
912070.6694253765,301919.5324290306,121528.80723389282,210971.13048060032,299870.5679775503,306185.9076066866,819834.416435749
992465.688446275,134331.00555361158,21531.147224461947,199834.5101207522,218946.7611473546,170450.3346232267,858973.8806835982
938523.2902675245,90213.3992466214,11134.991643124302,94108.13365121729,209308.23871444617,164246.33530653658,639169.5775777478
795608.4040631884,145875.67740982806,19105.203450800804,155715.64916978648,97543.5250951333,161907.35581530756,587053.0148064445
691425.9420335995,102572.75609013747,81484.19961706526,96839.16278399953,112161.48406006618,107867.60858522629,413631.96090915217
441667.20633863896,141964.73596889255,257546.65152984756,136680.99672019255,144903.98829515246,106503.97059412804,271748.2590734102
265295.5517847396,118972.88016556192,340372.69199342385,160193.58561797603,58649.95122656315,181869.36611450935,200355.2064428524
141765.23180626868,74230.94113514408,539074.9658638099,28804.47472498629,139721.65906065897,204469.01678471806,50413.55234257172
0.0,19946.3194239388,724948.2192530953,53995.406246307124,55602.61110336381,37885.59887242607,94901.06401877252
98939.03327647514,69631.76324142051,828687.6766620921,52580.22887311952,42301.413496407695,99027.13402420554,0.0
181724.92594982285,6824.525349091409,946076.0884731085,49131.66727959576,36493.623273282596,147071.94664754867,53876.50595451986
331884.2689097706,81191.01316298294,905532.1419034015,185065.845487866,183012.84820722806,137947.85311401758,93025.22345002352
512041.1873805883,108818.52007588997,903571.2552668928,133255.03644468318,113008.93728831245,44822.00090307231,152299.5198078668
760538.9097897839,91958.02545240254,934061.5069609155,146556.09273749313,104642.60825581205,45322.13166517278,132793.63467003687
895720.8374302987,0.0,808486.1662129768,156949.2185966021,51710.94370754266,70653.69579913036,351065.612639022
1000000.0,21058.84308216231,682474.4907127598,83644.12817166922,104756.69565412836,84455.0310737208,424946.97983648116
961351.4649113689,27547.114617008083,546041.6428354145,8263.352528115869,122088.39271799858,113935.28759930404,622250.4755240161
810115.647805117,47807.36188914606,378744.76389236486,94376.69000546272,105847.45440952972,130069.81419325287,707024.905397688
